"","name","phone","addr","loc","link"
"314","Hampton Inn Columbus/South-Fort Benning","(706) 940-3862","2870 S Lumpkin Rd","Columbus, GA 31903","https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_CSGFBHX_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FCSGFBHX%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX"
"315","Staybridge Suites Atlanta - Midtown","(844) 641-3158","23 Linden Ave NW","Atlanta, GA 30308","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=atlpe&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-dexess-_-sb-_-ATLPE&glat=MEDI"
"317","Budget Motel & Efficiencies","(912) 264-4266","3241 Glynn Ave","Brunswick, GA 31520",NA
"318","avid hotels Byron - Warner Robins","(844) 353-0976","104 Holiday Ct","Byron, GA 31008","https://www.avidhotels.com/redirect?path=hd&brandCode=va&hotelCode=mcnbn&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-dexess-_-va-_-MCNBN&glat=MEDI"
"319","Scottish Inn","(770) 603-7300","599 Battlecreek Rd","Jonesboro, GA 30236",NA
"323","Crowne Plaza Atlanta Perimeter at Ravinia","(844) 267-1858","4355 Ashford Dunwoody Rd NE","Atlanta, GA 30346","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=atlcp&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-dexess-_-cp-_-ATLCP&glat=MEDI"
"324","InterContinental Buckhead Atlanta","(470) 731-4338","3315 Peachtree Rd NE","Atlanta, GA 30326","https://www.intercontinental.com/redirect?path=hd&brandCode=ic&hotelCode=atlbh&_PMID=99601036&cm_mmc=ypm"
"327","Staybridge Suites Augusta","(762) 257-3478","2540 Center West Pkwy","Augusta, GA 30909","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=agssb&_PMID=99601036&cm_mmc=ypm"
"328","Staybridge Suites Atlanta-Buckhead","(844) 861-5308","540 Pharr Rd NE","Atlanta, GA 30305","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=atlbk&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-dexess-_-sb-_-ATLBK&glat=MEDI"
"329","Hotel Indigo Athens Downtown - Univ Area","(762) 356-4410","500 College Ave","Athens, GA 30601","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=ahnin&_PMID=99601036&cm_mmc=ypm"
"330","Hotel Indigo Atlanta Midtown","(470) 560-0181","683 Peachtree St NE","Atlanta, GA 30308","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=atlfx&_PMID=99601036&cm_mmc=ypm"
"331","Albany 8 Inn","(229) 435-2151","905 E Oglethorpe Blvd","Albany, GA 31705","http://www.albany8inn.com"
"332","Hotel Indigo Atlanta - Vinings","(470) 742-2135","2857 Paces Ferry Rd SE","Atlanta, GA 30339","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=atlrc&_PMID=99601036&cm_mmc=ypm"
"333","Hotel Indigo Atlanta Airport - College Park","(678) 905-4457","1776 Harvard Ave","Atlanta, GA 30337","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=atlww&_PMID=99601036&cm_mmc=ypm"
"337","Staybridge Suites Savannah Airport - Pooler","(912) 428-7666","1 Clyde E Martin Dr","Savannah, GA 31408","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=savga&_PMID=99601036&cm_mmc=ypm"
"338","Courtyard by Marriott Columbus","(706) 940-3893","3501 Courtyard Way","Columbus, GA 31909","https://www.marriott.com/hotels/travel/csgch-courtyard-columbus/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe"
"345","Breakers Hotel The","(808) 923-3181","250 Beach Walk","Honolulu, HI 96815","https://www.breakers-hawaii.com/"
"346","Breakers Hotel The","(844) 318-1158","250 Beach Walk","Honolulu, HI 96815","https://www.breakers-hawaii.com"
"347","Breakers Hotel The","(808) 923-8894","250 Beach Walk","Honolulu, HI 96815","http://www.breakers-hawaii.com"
"348","Mana Kai Maui Resort","(808) 879-1561","2960 S Kihei Rd","Kihei, HI 96753","http://www.manakaimaui.com/"
"349","Quam Properties Hawaii Inc","(808) 665-1315","5095 Napilihau St","Lahaina, HI 96761","https://www.quamproperties.com"
"352","Manago Hotel","(808) 323-2642","82-6151 Mamalahoa Hwy","Captain Cook, HI 96704","http://www.managohotel.net"
"353","Motel Lani","(808) 245-2965","4240 Rice St","Lihue, HI 96766",NA
"354","Go Go SHUTTLE","(808) 436-0005","277 N Vineyard Blvd","Honolulu, HI 96817","http://www.gogoshuttle.net"
"355","Imperial Hawaii Resort at Waikiki The","(808) 923-1827","205 Lewers St","Honolulu, HI 96815","http://www.imperialofwaikiki.com"
"356","Seaside Hotels Hawaii","(808) 737-5800","3660 Waialae Ave Ste 210","Honolulu, HI 96816","http://www.hiloseasidehotel.com"
"357","SunQuest Vacations","(808) 329-6438","77-6435 Kuakini Hwy","Kailua Kona, HI 96740","http://www.sunquest-hawaii.com"
"358","The ‘Okina, Autograph Collection","(808) 922-6600","2299 Kuhio Ave","Honolulu, HI 96815","http://www.marriott.com/hotels/travel/hnlak-the-%E2%80%98okina-autograph-collection"
"359","Ho'oilo House","(808) 667-6669","Lahaina 96761","Lahaina, HI 96761","http://www.hooilohouse.com"
"360","Kuhio Ebbtide Development Inc","(808) 926-6967","2462 Kuhio Ave","Honolulu, HI 96815",NA
"361","Aston at Papakea Resort","(808) 665-0880","3543 Lower Honoapiilani Rd","Lahaina, HI 96761","https://www.aquaaston.com/hotels/aston-at-papakea-resort?utm_source=yext&utm_medium=local&utm_campaign=yext"
"362","Kona Hotel","(808) 324-1155","76-5908 Mamalahoa Hwy","Holualoa, HI 96725",NA
"363","Courtyard by Marriott","(808) 954-4000","400 Royal Hawaiian Ave","Honolulu, HI 96815","http://www.marriott.com/hotels/travel/hnlow-courtyard-waikiki-beach/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2"
"364","Best Western The Plaza Hotel","(808) 836-3636","3253 N Nimitz Hwy","Honolulu, HI 96819","https://www.bestwestern.com/en_US/book/hotel-rooms.12008.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:12008"
"365","Marine Surf Waikiki","(808) 923-0277","364 Seaside Ave","Honolulu, HI 96815",NA
"366","Resort Association Partners","(808) 885-9208","68-150 Hoohana St","Kamuela, HI 96743",NA
"367","Diamond Head Beach Hotel & Residences","(808) 791-2923","2947 Kalakaua Ave","Honolulu, HI 96815","http://dhbhsuites.com/?utm_source=Yext%20GMB&utm_medium=Organic&utm_campaign=Yext"
"368","Alii Kai Resort","(808) 445-1116","3830 Edward Rd","Princeville, HI 96722","http://aliikairesort.weebly.com"
"369","Hawaiian Princess","(808) 696-1234","84-1021 Lahilahi Street","Waianae, HI 96792","http://www.hawaiianprincessmakaha.com"
"370","Hilo Reeds Bay Hotel","(808) 934-7277","175 Banyan Dr","Hilo, HI 96720","https://www.hiloreedsbayhotel.net"
"371","Loftin Rudet H","(808) 669-1168","5315 Lower Honoapiilani Rd","Lahaina, HI 96761",NA
"372","Wailea Ekahi","(808) 868-4050","3300 Wailea Alanui Dr","Kihei, HI 96753","http://ekahiaoao.com"
"380","Four  Seasons Storage1","(208) 481-5416","20 Tyler Dr","Bellevue, ID 83313",NA
"382","Candlewood Suites Boise-Meridian","(208) 996-0892","1855 S Silverstone Way","Meridian, ID 83642","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=mercw&_PMID=99601036&cm_mmc=ypm"
"384","Staybridge Suites Coeur d'Alene","(208) 714-4038","1347 W Riverstone Dr","Coeur D Alene, ID 83814","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=gegcd&_PMID=99601036&cm_mmc=ypm"
"388","Candlewood Suites Boise - Towne Square","(208) 994-4521","700 N Cole Rd","Boise, ID 83704","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=boicw&_PMID=99601036&cm_mmc=ypm"
"389","Candlewood Suites Idaho Falls","(208) 980-7862","665 Pancheri Dr","Idaho Falls, ID 83402","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=idapd&_PMID=99601036&cm_mmc=ypm"
"390","Chinden Motor Inn","(208) 322-8668","4678 W Chinden Blvd","Garden City, ID 83714","http://superpages.mydex.com/G--5F-l4xGw"
"391","Hilander Motel","(208) 587-5512","615 S 3rd W","Mountain Home, ID 83647","http://www.google.com/url?q=https://m.facebook.com/pages/Hilander-Motel/130965020313117&sa=U&ved=0ahUKEwiAmtbW_vrRAhUMlxQKHU5hAfgQ61gICygHMAA&usg=AQjCNew_lzGyRWKNdQCjVYDGlrHLSfw"
"392","All Travel Guru","(208) 635-0195","1210 N Idaho St","Post Falls, ID 83854","http://www.alltravelguru.com"
"394","Mac Donald's Hudson Bay Resort","(208) 683-2211","17813 E Hudson Bay Rd","Bayview, ID 83803","http://www.macdonaldsresort.com"
"403","Super 8","(208) 228-5132","215 West Main Street","Rexburg, ID 83440","http://super8.com"
"415","Alpine Inn","(779) 888-3923","4404 E State St","Rockford, IL 61108","http://alpineinnrockford.com"
"416","Glo Motel","(217) 442-2086","3617 N Vermilion St","Danville, IL 61832",NA
"417","Holiday International Travel","(618) 262-8808","730 N Market St","Mount Carmel, IL 62863","http://www.holidayinternational.com"
"419","Staybridge Suites Chicago-Oakbrook Terrace","(331) 425-7674","200 Royce Blvd","Oakbrook Terrace, IL 60181","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=chiot&_PMID=99601036&cm_mmc=ypm"
"420","InterContinental Chicago Magnificent Mile","(312) 319-4515","505 N Michigan Ave","Chicago, IL 60611","https://www.intercontinental.com/redirect?path=hd&brandCode=ic&hotelCode=ordha&_PMID=99601036&cm_mmc=ypm"
"421","Staybridge Suites Springfield-South","(217) 441-9711","4231 Schooner Dr","Springfield, IL 62711","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=spiso&_PMID=99601036&cm_mmc=ypm"
"422","Crowne Plaza Chicago-Northbrook","(331) 757-6815","2875 Milwaukee Ave","Northbrook, IL 60062","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=chinr&_PMID=99601036&cm_mmc=ypm"
"423","Staybridge Suites Chicago - Lincolnshire","(331) 246-1484","100 Barclay Blvd","Lincolnshire, IL 60069","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=chils&_PMID=99601036&cm_mmc=ypm"
"424","Crowne Plaza Springfield - Convention CTR","(217) 441-9908","3000 S Dirksen Pkwy","Springfield, IL 62703","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=spicc&_PMID=99601036&cm_mmc=ypm"
"425","Days Inn Chicago","(773) 525-7010","644 W Diversey Pkwy","Chicago, IL 60614","http://www.daysinnchicago.net"
"426","Lafayette Hotel","(815) 964-5651","411 Mulberry St","Rockford, IL 61101",NA
"427","Crowne Plaza Chicago Ohare Hotel & Conf Ctr","(331) 867-6185","5440 N River Rd","Rosemont, IL 60018","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=chiok&_PMID=99601036&cm_mmc=ypm"
"428","Staybridge Suites Peoria-Downtown","(844) 830-0964","300 W Romeo B Garrett Ave","Peoria, IL 61605","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=piadt&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-dexess-_-sb-_-PIADT&glat=MEDI"
"429","Crestview Motel","(309) 501-2121","1216 Peoria St","Washington, IL 61571",NA
"430","Candlewood Suites Ofallon Il - St. Louis Area","(618) 589-1973","1332 Park Plaza Dr","O Fallon, IL 62269","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=stlof&_PMID=99601036&cm_mmc=ypm"
"432","Hotel Indigo Chicago-Vernon Hills","(312) 487-2361","450 N Milwaukee Ave","Vernon Hills, IL 60061","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=vhlil&_PMID=99601036&cm_mmc=ypm"
"433","Staybridge Suites Chicago -- Glenview","(331) 900-3223","2600 Lehigh Ave","Glenview, IL 60026","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=chigv&_PMID=99601036&cm_mmc=ypm"
"434","Crowne Plaza Lombard Downers Grove","(331) 261-6379","1250 Roosevelt Rd","Glen Ellyn, IL 60137","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=chige&_PMID=99601036&cm_mmc=ypm"
"436","Staybridge Suites Rockford","(815) 977-7472","633 N Bell School Rd","Rockford, IL 61107","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=rfdss&_PMID=99601036&cm_mmc=ypm"
"439","Candlewood Suites Peoria - IL","(844) 509-6867","5300 W Landens Way","Peoria, IL 61615","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=piacw&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-dexess-_-cw-_-PIACW&glat=MEDI"
"449","Hampton Inn Goshen","(844) 716-3791","1968 Lincolnway East","Goshen, IN 46526","https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_SBNGSHX_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FSBNGSHX%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX"
"451","Crowne Plaza Indianapolis-Airport","(317) 969-8241","2501 S High School Rd","Indianapolis, IN 46241","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=indap&_PMID=99601036&cm_mmc=ypm"
"456","The Oliver Inn Bed & Breakfast","(574) 232-4545","630 W Washington St","South Bend, IN 46601","https://www.oliverinn.com"
"458","Crowne Plaza Indianapolis-Dwtn-Union Stn","(317) 285-0117","123 W Louisiana St","Indianapolis, IN 46225","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=inddt&_PMID=99601036&cm_mmc=ypm"
"461","Econo Lodge","(812) 271-0051","220 S Commerce Dr","Seymour, IN 47274","https://www.choicehotels.com/indiana/seymour/econo-lodge-hotels/in405"
"462","Staybridge Suites Indianapolis-Carmel","(463) 317-7324","10675 N Pennsylvania St","Carmel, IN 46280","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=indca&_PMID=99601036&cm_mmc=ypm"
"463","Staybridge Suites Indianapolis-Fishers","(463) 317-7463","9780 Crosspoint Blvd","Indianapolis, IN 46256","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=indfh&_PMID=99601036&cm_mmc=ypm"
"465","Tazian Properties","(260) 497-9905","10104 Woodland Plaza Cv","Fort Wayne, IN 46825","https://www.tazianproperties.com"
"472","Staybridge Suites Fort Wayne","(260) 279-5159","5925 Ellison Rd","Fort Wayne, IN 46804","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=fwamm&_PMID=99601036&cm_mmc=ypm"
"473","Staybridge Suites Indianapolis Downtown-Conv Ctr","(463) 317-7271","535 S West St","Indianapolis, IN 46225","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=indci&_PMID=99601036&cm_mmc=ypm"
"475","Staybridge Suites Elkhart North","(574) 338-3443","3252 Cassopolis St","Elkhart, IN 46514","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=ekist&_PMID=99601036&cm_mmc=ypm"
"482","Waspy's Truck Stop","(833) 630-7086","2079 Highway 71","Audubon, IA 50025","http://www.waspystruckstop.com"
"483","Arrowhead Motel Lodge & Suites","(319) 576-7528","2520 Mount Pleasant St","Burlington, IA 52601","http://www.arrowheadia.com"
"485","Staybridge Suites Davenport","(563) 396-1683","4729 Progress Dr","Davenport, IA 52807","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=dvnpr&_PMID=99601036&cm_mmc=ypm"
"486","Staybridge Suites West Des Moines","(515) 657-8293","6905 Lake Dr","West Des Moines, IA 50266","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=dsmsb&_PMID=99601036&cm_mmc=ypm"
"489","Staybridge Suites Des Moines Downtown","(515) 207-2451","201 E Locust St","Des Moines, IA 50309","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=dsmsy&_PMID=99601036&cm_mmc=ypm"
"490","Budget Inn And Suites","(512) 893-7861","5220 NE 14th St","Des Moines, IA 50313","http://bavarianinnhotel.com"
"492","La Quinta Inn & Suites Cedar Rapids","(515) 218-2471","1220 Park Ave","Des Moines, IA 50315","https://www.wyndhamhotels.com/baymont/des-moines-iowa/baymont-inn-and-suites-des-moines-airport/overview?CID=LC:BU:20160927:Yext:Local:SM-buwnct"
"495","Express Limousines","(319) 626-5466","840 Liberty Way","North Liberty, IA 52317","https://www.express-limos.com"
"496","Staybridge Suites Sioux City Southeast","(605) 540-1209","5410 Sergeant Rd","Sioux City, IA 51106","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=suxbg&_PMID=99601036&cm_mmc=ypm"
"497","Staybridge Suites Cedar Rapids North","(319) 423-8357","4444 Czech Ln NE","Cedar Rapids, IA 52402","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=cidst&_PMID=99601036&cm_mmc=ypm"
"498","avid hotels Cedar Rapids South","(319) 382-7292","645 America Dr SW","Cedar Rapids, IA 52404","https://www.avidhotels.com/redirect?path=hd&brandCode=va&hotelCode=cidav&_PMID=99601036&cm_mmc=ypm"
"499","avid hotels Sioux City - Downtown","(844) 342-1911","101 Court St","Sioux City, IA 51101","https://www.avidhotels.com/redirect?path=hd&brandCode=va&hotelCode=suxav&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-dexess-_-va-_-SUXAV&glat=MEDI"
"500","Staybridge Suites Iowa City - Coralville","(319) 383-0600","801 E 2nd Ave","Coralville, IA 52241","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=cidci&_PMID=99601036&cm_mmc=ypm"
"501","Candlewood Suites Davenport","(563) 396-2930","3800 Market Square Cir","Davenport, IA 52807","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=dvnms&_PMID=99601036&cm_mmc=ypm"
"502","Candlewood Suites Sioux City - Southern Hills","(712) 823-3749","4720 Southern Hills Dr","Sioux City, IA 51106","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=suxcw&_PMID=99601036&cm_mmc=ypm"
"504","Broadway Motel","(515) 262-5659","5100 Hubbell Ave","Des Moines, IA 50317","http://www.broadwaymoteldesmoines.us"
"505","Travel Inn","(563) 243-4730","302 6th Ave S","Clinton, IA 52732",NA
"520","Lazy-R Motel","(620) 872-3043","710 E 5th St","Scott City, KS 67871",NA
"524","Candlewood Suites Junction City/Ft. Riley","(785) 390-1366","100 Hammons Dr","Junction City, KS 66441","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=jctcw&_PMID=99601036&cm_mmc=ypm"
"535","Staybridge Suites Wichita","(316) 854-4932","2250 N Greenwich Rd","Wichita, KS 67226","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=ictsb&_PMID=99601036&cm_mmc=ypm"
"540","Staybridge Suites Overland Park-Kansas City Area","(913) 440-0881","7020 W 108th St","Leawood, KS 66211","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=mkcvl&_PMID=99601036&cm_mmc=ypm"
"543","Candlewood Suites Wichita East","(316) 512-2582","5211 E Kellogg Dr","Wichita, KS 67218","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=ictcl&_PMID=99601036&cm_mmc=ypm"
"550","Budget Inn","(270) 683-7311","316 E 3rd St","Owensboro, KY 42303","http://www.budgetinn.com"
"551","Staybridge Suites Louisville-East","(502) 516-2085","11711 Gateworth Way","Louisville, KY 40299","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=sdfmt&_PMID=99601036&cm_mmc=ypm"
"553","Staybridge Suites Bowling Green","(270) 715-2145","680 Campbell Ln","Bowling Green, KY 42101","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=bwgsb&_PMID=99601036&cm_mmc=ypm"
"560","Staybridge Suites Lexington","(859) 440-3795","125 Louie Pl","Lexington, KY 40511","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=lexlp&_PMID=99601036&cm_mmc=ypm"
"571","Crowne Plaza Louisville Airport Expo Ctr","(812) 542-5429","830 Phillips Ln","Louisville, KY 40209","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=sdfpl&_PMID=99601036&cm_mmc=ypm"
"573","Staybridge Suites Florence - Cincinnati South","(513) 653-5932","3255 Ted Bushelman Blvd","Florence, KY 41042","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=cvgfo&_PMID=99601036&cm_mmc=ypm"
"574","Staybridge Suites Louisville - Expo Center","(502) 873-0213","380 Farmington Ave","Louisville, KY 40209","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=sdfbg&_PMID=99601036&cm_mmc=ypm"
"575","avid hotels Lexington - Hamburg Area","(844) 814-3286","1810 Bryant Rd","Lexington, KY 40509","https://www.avidhotels.com/redirect?path=hd&brandCode=va&hotelCode=lexav&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-dexess-_-va-_-LEXAV&glat=MEDI"
"576","Candlewood Suites Radcliff - Fort Knox","(270) 390-0009","40 Bourbon St","Radcliff, KY 40160","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=radcw&_PMID=99601036&cm_mmc=ypm"
"577","Candlewood Suites Fort Campbell - Oak Grove","(270) 807-4299","12885 Fort Campbell Blvd","Oak Grove, KY 42262","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=ogkcw&_PMID=99601036&cm_mmc=ypm"
"584","Rodeway Inn","(504) 708-1901","5733 Airline Drive","Metairie, LA 70003","http://www.travelinnmetairie.com"
"585","Days Inn","(337) 239-2612","1910 S 5th St","Leesville, LA 71446","http://www.daysinn.com/hotels/louisiana/leesville/days-inn-leesville/hotel-overview"
"586","Riverside Hotel","(504) 391-0133","8280 Highway 23","Belle Chasse, LA 70037","http://www.riversidebellechasse.com"
"590","Crowne Plaza Executive Center Baton Rouge","(225) 877-2370","4728 Constitution Ave","Baton Rouge, LA 70808","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=btrca&_PMID=99601036&cm_mmc=ypm"
"592","Staybridge Suites Lafayette-Airport","(337) 347-6203","129 E Kaliste Saloom Rd","Lafayette, LA 70508","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=lftks&_PMID=99601036&cm_mmc=ypm"
"593","Hotel Indigo New Orleans Garden District","(504) 224-5154","2203 Saint Charles Ave","New Orleans, LA 70130","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=msyin&_PMID=99601036&cm_mmc=ypm"
"597","Hotel Indigo Baton Rouge Downtown","(225) 295-6853","200 Convention St","Baton Rouge, LA 70801","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=btrin&_PMID=99601036&cm_mmc=ypm"
"602","Hotel Indigo New Orleans - French Quarter","(504) 595-1556","705 Common St","New Orleans, LA 70130","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=msyrl&_PMID=99601036&cm_mmc=ypm"
"604","Best Western Minden Inn","(318) 377-1001","1411 Sibley Rd","Minden, LA 71055","http://www.bestwestern.com"
"608","InterContinental New Orleans","(504) 334-8376","444 Saint Charles Ave","New Orleans, LA 70130","https://www.intercontinental.com/redirect?path=hd&brandCode=ic&hotelCode=msyha&_PMID=99601036&cm_mmc=ypm"
"638","Candlewood Suites Portland - Scarborough","(207) 819-4071","700 Roundwood Dr","Scarborough, ME 04074","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=pwmrd&_PMID=99601036&cm_mmc=ypm"
"647","Travelers Inn","(207) 295-7022","130 Pleasant Street, U.S. Route 1","Brunswick, ME 04011","https://travelersinnme.com"
"648","Admiral Motel","(207) 883-9206","549 Us Route 1","Scarborough, ME 04074","http://www.admiralmotelmaine.com"
"649","Country Inn at the Mall","(207) 941-0200","936 Stillwater Ave","Bangor, ME 04401","http://www.countryinnatthemall.net"
"650","Mount Blue Motel","(207) 778-6004","454 Wilton Rd","Farmington, ME 04938","http://www.mountbluemotel.com"
"651","The Inn at Park Spring","(207) 774-1059","135 Spring St","Portland, ME 04101","http://www.innatparkspring.com"
"652","Woodwinds","(866) 430-4956","29 Hackmatack Ln","Tenants Harbor, ME 04860",NA
"653","Mollyockett Motel & Swim Spa","(207) 674-2345","1132 S Main St","Bryant Pond, ME 04219","http://www.cs-26.net"
"654","Gram Russo's Italian Restaurant","(207) 764-3321","116 Main St","Presque Isle, ME 04769","http://www.hampton.com"
"655","Winthrop Motel","(207) 377-2213","1385 Us Route 202","Winthrop, ME 04364",NA
"656","Flagship Inn","(207) 633-5094","200 Townsend Ave","Boothbay Harbor, ME 04538","http://www.boothbaylodging.com"
"657","The Harborage Inn","(207) 633-4640","75 Townsend Ave","Boothbay Harbor, ME 04538","http://www.harborageinn.com"
"658","Sea Captain's Inn","(207) 548-0919","8 Water St","Searsport, ME 04974",NA
"659","Pink Blossoms Resort","(207) 646-7397","154 Shore Rd","Ogunquit, ME 03907","http://www.pinkb.com"
"660","Sleepy Time Motel","(207) 783-1435","46 Danville Corner Rd","Auburn, ME 04210","http://www.sleepytimemotel.com"
"661","Benjamin F Packard House Bed & Breakfast","(207) 443-6004","45 Pearl St","Bath, ME 04530","http://www.benjaminfpackardhouse.com"
"662","Gorges Grant Hotel","(207) 646-7003","449 Main St","Ogunquit, ME 03907","http://www.ogunquit.com"
"663","Wildflower Inn","(207) 548-2112","2 Black Rd S","Searsport, ME 04974","http://www.wildflowerinnme.com"
"664","Newcastle Inn","(207) 563-5685","60 River Rd","Newcastle, ME 04553","http://www.newcastleinn.com"
"665","The Perennial Inn","(207) 369-0309","141 Martin Rd","Rumford, ME 04276","http://www.perennialinn.com"
"672","Doll Motel","(410) 999-0321","1300 Crain Hwy S","Glen Burnie, MD 21061","http://www.dollmotel.com"
"674","Kings Court Motel","(410) 592-8333","12200 Belair Rd","Kingsville, MD 21087","http://kingscourtmotel.com"
"675","Hotel Indigo Baltimore Downtown","(443) 961-4380","24 W Franklin St","Baltimore, MD 21201","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=balhn&_PMID=99601036&cm_mmc=ypm"
"679","Staybridge Suites Baltimore BWI Airport","(410) 424-5220","1301 Winterson Rd","Linthicum Heights, MD 21090","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=balli&_PMID=99601036&cm_mmc=ypm"
"681","Candlewood Suites Aberdeen-Edgewood-Bel Air","(443) 371-3702","4216 Philadelphia Rd","Bel Air, MD 21015","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=bammd&_PMID=99601036&cm_mmc=ypm"
"689","Staybridge Suites Baltimore - Inner Harbor","(443) 608-5727","17 Commerce St","Baltimore, MD 21202","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=balih&_PMID=99601036&cm_mmc=ypm"
"690","Crowne Plaza Annapolis","(443) 924-6836","173 Jennifer Rd","Annapolis, MD 21401","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=anpam&_PMID=99601036&cm_mmc=ypm"
